Cavaillon;93;26985
Orange;93;29856
La Roche-sur-Yon;52;56991
Châtellerault;75;32887
Poitiers;75;90590
Limoges;75;135140
Épinal;44;33454
Auxerre;27;36804
Sens;27;26688
Belfort;27;49926
Athis-Mons;11;34065
Brétigny-sur-Orge;11;26702
Brunoy;11;26520
Corbeil-Essonnes;11;51682
Draveil;11;29558
Évry;11;55425
Grigny;11;29118
Massy;11;50549
Palaiseau;11;34954
Ris-Orangis;11;29040
Sainte-Geneviève-des-Bois;11;36219
Savigny-sur-Orge;11;36677
Les Ulis;11;25031
Vigneux-sur-Seine;11;31488
Viry-Châtillon;11;30962
Yerres;11;29132
Antony;11;62989
Asnières-sur-Seine;11;86678
Bagneux;11;39977
Bois-Colombes;11;28607
Boulogne-Billancourt;11;120943
Châtenay-Malabry;11;33413
Châtillon;11;37132
Clamart;11;53099
Clichy;11;60746
Colombes;11;86050
Courbevoie;11;82351
La Garenne-Colombes;11;29503
Gennevilliers;11;46939
Issy-les-Moulineaux;11;69231
Levallois-Perret;11;64028
Malakoff;11;30286
Meudon;11;46014
Montrouge;11;49372
Nanterre;11;96321
Neuilly-sur-Seine;11;61501
Le Plessis-Robinson;11;29192
Puteaux;11;44941
Rueil-Malmaison;11;79783
Saint-Cloud;11;30797
Suresnes;11;49145
Vanves;11;28148
Aubervilliers;11;86533
Aulnay-sous-Bois;11;85214
Bagnolet;11;36047
Le Blanc-Mesnil;11;56346
Bobigny;11;52633
Bondy;11;53416
Clichy-sous-Bois;11;29978
La Courneuve;11;42712
Drancy;11;70883
Épinay-sur-Seine;11;55754
Gagny;11;39391
Livry-Gargan;11;44721
Montfermeil;11;26262
Montreuil;11;109235
Neuilly-sur-Marne;11;34859
Noisy-le-Grand;11;67086
Noisy-le-Sec;11;43693
Pantin;11;55585
Pierrefitte-sur-Seine;11;29728
Romainville;11;26640
Rosny-sous-Bois;11;45663
Saint-Denis;11;112309
Saint-Ouen;11;49949
Sevran;11;50888
Stains;11;39776
Tremblay-en-France;11;35866
Villemomble;11;30227
Villepinte;11;36809
Alfortville;11;44136
Cachan;11;30524
Champigny-sur-Marne;11;77883
Charenton-le-Pont;11;30793
Choisy-le-Roi;11;44781
Créteil;11;90052
Fontenay-sous-Bois;11;53968
Fresnes;11;27556
L' Haÿ-les-Roses;11;31416
Ivry-sur-Seine;11;61099
Le Kremlin-Bicêtre;11;25422
Limeil-Brévannes;11;26901
Maisons-Alfort;11;55816
Nogent-sur-Marne;11;32195
Le Perreux-sur-Marne;11;34017
Saint-Maur-des-Fossés;11;75833
Sucy-en-Brie;11;26575
Thiais;11;29295
Villejuif;11;55805
Villeneuve-Saint-Georges;11;33135
Villiers-sur-Marne;11;29407
Vincennes;11;50300
Vitry-sur-Seine;11;93317
Argenteuil;11;112064
Bezons;11;29216
Cergy;11;64451
Eaubonne;11;25514
Ermont;11;29400
Franconville;11;36349
Garges-lès-Gonesse;11;42821
Gonesse;11;26556
Goussainville;11;31167
Herblay;11;29614
Pontoise;11;31880
Sannois;11;27118
Sarcelles;11;58332
Taverny;11;26541
Villiers-le-Bel;11;27519
Les Abymes;01;54818
Baie-Mahault;01;31338
Le Gosier;01;27023
Fort-de-France;02;82030
Le Lamentin;02;40920
Cayenne;03;60947
Kourou;03;26726
Matoury;03;32768
Remire-Montjoly;03;26170
Saint-Laurent-du-Maroni;03;44130
Le Port;04;35141
La Possession;04;33337
Saint-André;04;56088
Saint-Benoît;04;38466
Saint-Denis;04;149337
Saint-Joseph;04;38167
Saint-Leu;04;34160
Saint-Louis;04;53832
Saint-Paul;04;106920
Saint-Pierre;04;85059
Sainte-Marie;04;33587
Le Tampon;04;78366
